contaminante,estacion_a,estacion_b,dias_comunes,dias_a,dias_b
NO2,ACOPI,ACOPI,331,331,331
NO2,ACOPI,MOVIL,0,331,281
NO2,ACOPI,PALMIRA,0,331,47
NO2,MOVIL,ACOPI,0,281,331
NO2,MOVIL,MOVIL,281,281,281
NO2,MOVIL,PALMIRA,43,281,47
NO2,PALMIRA,ACOPI,0,47,331
NO2,PALMIRA,MOVIL,43,47,281
NO2,PALMIRA,PALMIRA,47,47,47
SO2,ACOPI,ACOPI,629,629,629
SO2,ACOPI,BASE AÉREA,48,629,441
SO2,ACOPI,CAÑAVERALEJO,0,629,370
SO2,ACOPI,LA ERMITA,33,629,448
SO2,ACOPI,LA FLORA,0,629,236
SO2,ACOPI,MOVIL,0,629,250
SO2,ACOPI,PALMIRA,159,629,242
SO2,ACOPI,TRANSITORIA-NAVARRO,0,629,162
SO2,BASE AÉREA,ACOPI,48,441,629
SO2,BASE AÉREA,BASE AÉREA,441,441,441
SO2,BASE AÉREA,CAÑAVERALEJO,273,441,370
SO2,BASE AÉREA,LA ERMITA,264,441,448
SO2,BASE AÉREA,LA FLORA,192,441,236
SO2,BASE AÉREA,MOVIL,0,441,250
SO2,BASE AÉREA,PALMIRA,0,441,242
SO2,BASE AÉREA,TRANSITORIA-NAVARRO,147,441,162
SO2,CAÑAVERALEJO,ACOPI,0,370,629
SO2,CAÑAVERALEJO,BASE AÉREA,273,370,441
SO2,CAÑAVERALEJO,CAÑAVERALEJO,370,370,370
SO2,CAÑAVERALEJO,LA ERMITA,320,370,448
SO2,CAÑAVERALEJO,LA FLORA,219,370,236
SO2,CAÑAVERALEJO,MOVIL,23,370,250
SO2,CAÑAVERALEJO,PALMIRA,0,370,242
SO2,CAÑAVERALEJO,TRANSITORIA-NAVARRO,155,370,162
SO2,LA ERMITA,ACOPI,33,448,629
SO2,LA ERMITA,BASE AÉREA,264,448,441
SO2,LA ERMITA,CAÑAVERALEJO,320,448,370
SO2,LA ERMITA,LA ERMITA,448,448,448
SO2,LA ERMITA,LA FLORA,223,448,236
SO2,LA ERMITA,MOVIL,34,448,250
SO2,LA ERMITA,PALMIRA,0,448,242
SO2,LA ERMITA,TRANSITORIA-NAVARRO,162,448,162
SO2,LA FLORA,ACOPI,0,236,629
SO2,LA FLORA,BASE AÉREA,192,236,441
SO2,LA FLORA,CAÑAVERALEJO,219,236,370
SO2,LA FLORA,LA ERMITA,223,236,448
SO2,LA FLORA,LA FLORA,236,236,236
SO2,LA FLORA,MOVIL,22,236,250
SO2,LA FLORA,PALMIRA,0,236,242
SO2,LA FLORA,TRANSITORIA-NAVARRO,115,236,162
SO2,MOVIL,ACOPI,0,250,629
SO2,MOVIL,BASE AÉREA,0,250,441
SO2,MOVIL,CAÑAVERALEJO,23,250,370
SO2,MOVIL,LA ERMITA,34,250,448
SO2,MOVIL,LA FLORA,22,250,236
SO2,MOVIL,MOVIL,250,250,250
SO2,MOVIL,PALMIRA,0,250,242
SO2,MOVIL,TRANSITORIA-NAVARRO,15,250,162
SO2,PALMIRA,ACOPI,159,242,629
SO2,PALMIRA,BASE AÉREA,0,242,441
SO2,PALMIRA,CAÑAVERALEJO,0,242,370
SO2,PALMIRA,LA ERMITA,0,242,448
SO2,PALMIRA,LA FLORA,0,242,236
SO2,PALMIRA,MOVIL,0,242,250
SO2,PALMIRA,PALMIRA,242,242,242
SO2,PALMIRA,TRANSITORIA-NAVARRO,0,242,162
SO2,TRANSITORIA-NAVARRO,ACOPI,0,162,629
SO2,TRANSITORIA-NAVARRO,BASE AÉREA,147,162,441
SO2,TRANSITORIA-NAVARRO,CAÑAVERALEJO,155,162,370
SO2,TRANSITORIA-NAVARRO,LA ERMITA,162,162,448
SO2,TRANSITORIA-NAVARRO,LA FLORA,115,162,236
SO2,TRANSITORIA-NAVARRO,MOVIL,15,162,250
SO2,TRANSITORIA-NAVARRO,PALMIRA,0,162,242
SO2,TRANSITORIA-NAVARRO,TRANSITORIA-NAVARRO,162,162,162
O3,ACOPI,ACOPI,859,859,859
O3,ACOPI,BASE AÉREA,199,859,507
O3,ACOPI,COMPARTIR,213,859,458
O3,ACOPI,ERA OBRERO,215,859,422
O3,ACOPI,LA FLORA,216,859,342
O3,ACOPI,MOVIL,354,859,761
O3,ACOPI,PALMIRA,533,859,1179
O3,ACOPI,PANCE,184,859,395
O3,ACOPI,TRANSITORIA-NAVARRO,88,859,221
O3,ACOPI,UNIVERSIDAD DEL VALLE,191,859,412
O3,BASE AÉREA,ACOPI,199,507,859
O3,BASE AÉREA,BASE AÉREA,507,507,507
O3,BASE AÉREA,COMPARTIR,325,507,458
O3,BASE AÉREA,ERA OBRERO,286,507,422
O3,BASE AÉREA,LA FLORA,225,507,342
O3,BASE AÉREA,MOVIL,289,507,761
O3,BASE AÉREA,PALMIRA,423,507,1179
O3,BASE AÉREA,PANCE,282,507,395
O3,BASE AÉREA,TRANSITORIA-NAVARRO,187,507,221
O3,BASE AÉREA,UNIVERSIDAD DEL VALLE,257,507,412
O3,COMPARTIR,ACOPI,213,458,859
O3,COMPARTIR,BASE AÉREA,325,458,507
O3,COMPARTIR,COMPARTIR,458,458,458
O3,COMPARTIR,ERA OBRERO,304,458,422
O3,COMPARTIR,LA FLORA,283,458,342
O3,COMPARTIR,MOVIL,299,458,761
O3,COMPARTIR,PALMIRA,349,458,1179
O3,COMPARTIR,PANCE,268,458,395
O3,COMPARTIR,TRANSITORIA-NAVARRO,189,458,221
O3,COMPARTIR,UNIVERSIDAD DEL VALLE,229,458,412
O3,ERA OBRERO,ACOPI,215,422,859
O3,ERA OBRERO,BASE AÉREA,286,422,507
O3,ERA OBRERO,COMPARTIR,304,422,458
O3,ERA OBRERO,ERA OBRERO,422,422,422
O3,ERA OBRERO,LA FLORA,293,422,342
O3,ERA OBRERO,MOVIL,221,422,761
O3,ERA OBRERO,PALMIRA,304,422,1179
O3,ERA OBRERO,PANCE,276,422,395
O3,ERA OBRERO,TRANSITORIA-NAVARRO,220,422,221
O3,ERA OBRERO,UNIVERSIDAD DEL VALLE,180,422,412
O3,LA FLORA,ACOPI,216,342,859
O3,LA FLORA,BASE AÉREA,225,342,507
O3,LA FLORA,COMPARTIR,283,342,458
O3,LA FLORA,ERA OBRERO,293,342,422
O3,LA FLORA,LA FLORA,342,342,342
O3,LA FLORA,MOVIL,200,342,761
O3,LA FLORA,PALMIRA,234,342,1179
O3,LA FLORA,PANCE,220,342,395
O3,LA FLORA,TRANSITORIA-NAVARRO,175,342,221
O3,LA FLORA,UNIVERSIDAD DEL VALLE,124,342,412
O3,MOVIL,ACOPI,354,761,859
O3,MOVIL,BASE AÉREA,289,761,507
O3,MOVIL,COMPARTIR,299,761,458
O3,MOVIL,ERA OBRERO,221,761,422
O3,MOVIL,LA FLORA,200,761,342
O3,MOVIL,MOVIL,761,761,761
O3,MOVIL,PALMIRA,564,761,1179
O3,MOVIL,PANCE,232,761,395
O3,MOVIL,TRANSITORIA-NAVARRO,87,761,221
O3,MOVIL,UNIVERSIDAD DEL VALLE,305,761,412
O3,PALMIRA,ACOPI,533,1179,859
O3,PALMIRA,BASE AÉREA,423,1179,507
O3,PALMIRA,COMPARTIR,349,1179,458
O3,PALMIRA,ERA OBRERO,304,1179,422
O3,PALMIRA,LA FLORA,234,1179,342
O3,PALMIRA,MOVIL,564,1179,761
O3,PALMIRA,PALMIRA,1179,1179,1179
O3,PALMIRA,PANCE,313,1179,395
O3,PALMIRA,TRANSITORIA-NAVARRO,209,1179,221
O3,PALMIRA,UNIVERSIDAD DEL VALLE,312,1179,412
O3,PANCE,ACOPI,184,395,859
O3,PANCE,BASE AÉREA,282,395,507
O3,PANCE,COMPARTIR,268,395,458
O3,PANCE,ERA OBRERO,276,395,422
O3,PANCE,LA FLORA,220,395,342
O3,PANCE,MOVIL,232,395,761
O3,PANCE,PALMIRA,313,395,1179
O3,PANCE,PANCE,395,395,395
O3,PANCE,TRANSITORIA-NAVARRO,187,395,221
O3,PANCE,UNIVERSIDAD DEL VALLE,199,395,412
O3,TRANSITORIA-NAVARRO,ACOPI,88,221,859
O3,TRANSITORIA-NAVARRO,BASE AÉREA,187,221,507
O3,TRANSITORIA-NAVARRO,COMPARTIR,189,221,458
O3,TRANSITORIA-NAVARRO,ERA OBRERO,220,221,422
O3,TRANSITORIA-NAVARRO,LA FLORA,175,221,342
O3,TRANSITORIA-NAVARRO,MOVIL,87,221,761
O3,TRANSITORIA-NAVARRO,PALMIRA,209,221,1179
O3,TRANSITORIA-NAVARRO,PANCE,187,221,395
O3,TRANSITORIA-NAVARRO,TRANSITORIA-NAVARRO,221,221,221
O3,TRANSITORIA-NAVARRO,UNIVERSIDAD DEL VALLE,93,221,412
O3,UNIVERSIDAD DEL VALLE,ACOPI,191,412,859
O3,UNIVERSIDAD DEL VALLE,BASE AÉREA,257,412,507
O3,UNIVERSIDAD DEL VALLE,COMPARTIR,229,412,458
O3,UNIVERSIDAD DEL VALLE,ERA OBRERO,180,412,422
O3,UNIVERSIDAD DEL VALLE,LA FLORA,124,412,342
O3,UNIVERSIDAD DEL VALLE,MOVIL,305,412,761
O3,UNIVERSIDAD DEL VALLE,PALMIRA,312,412,1179
O3,UNIVERSIDAD DEL VALLE,PANCE,199,412,395
O3,UNIVERSIDAD DEL VALLE,TRANSITORIA-NAVARRO,93,412,221
O3,UNIVERSIDAD DEL VALLE,UNIVERSIDAD DEL VALLE,412,412,412
